timestamp,step,mid_price,best_bid,best_ask,spread_bps,inventory,pnl,orders
2026-01-25T01:17:49.227569,1,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.0,0.0,"[{'side': 'BUY', 'price': 89437.56, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.59, 'quantity': 0.001}]"
2026-01-25T01:17:59.520287,2,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.001,89.34157500000038,"[{'side': 'BUY', 'price': 89438.7, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.58, 'quantity': 0.001}]"
2026-01-25T01:18:09.639277,3,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.002,178.68315000000075,"[{'side': 'BUY', 'price': 89395.59, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.58, 'quantity': 0.001}]"
2026-01-25T01:18:19.773586,4,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.003,268.0247249999993,"[{'side': 'BUY', 'price': 89333.66, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.56, 'quantity': 0.001}]"
2026-01-25T01:18:30.263981,5,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.003,268.0247249999993,"[{'side': 'BUY', 'price': 89276.0, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.56, 'quantity': 0.001}]"
2026-01-25T01:18:40.844623,6,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.003,268.0247249999993,"[{'side': 'BUY', 'price': 89276.01, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.56, 'quantity': 0.001}]"
2026-01-25T01:18:51.154797,7,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.003,268.0247249999993,"[{'side': 'BUY', 'price': 89276.01, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.56, 'quantity': 0.001}]"
2026-01-25T01:19:01.310948,8,89341.57500000001,89341.57,89341.58,0.0011192997207359852,0.003,268.0247249999993,"[{'side': 'BUY', 'price': 89276.02, 'quantity': 0.001}, {'side': 'SELL', 'price': 89475.56, 'quantity': 0.001}]"
2026-01-25T01:19:11.822339,9,89352.785,89352.78,89352.79,0.0011191592959034584,0.003,268.0583549999992,"[{'side': 'BUY', 'price': 89287.25, 'quantity': 0.001}, {'side': 'SELL', 'price': 89486.79, 'quantity': 0.001}]"
2026-01-25T01:19:22.875603,10,89352.785,89352.78,89352.79,0.0011191592959034584,0.003,268.0583549999992,"[{'side': 'BUY', 'price': 89287.23, 'quantity': 0.001}, {'side': 'SELL', 'price': 89486.79, 'quantity': 0.001}]"
2026-01-25T01:19:33.043975,11,89316.155,89316.15,89316.16,0.0011196182828641947,0.003,267.9484649999995,"[{'side': 'BUY', 'price': 89250.55, 'quantity': 0.001}, {'side': 'SELL', 'price': 89450.11, 'quantity': 0.001}]"
2026-01-25T01:19:44.065059,12,89316.155,89316.15,89316.16,0.0011196182828641947,0.003,267.9484649999995,"[{'side': 'BUY', 'price': 89250.61, 'quantity': 0.001}, {'side': 'SELL', 'price': 89450.11, 'quantity': 0.001}]"
